History,exh,time of exh,last_1,time of last_1,last_2,time of last_2,last_3,time of last_3,last_4,time of last_4,transition_1,time of transition_1,transition_2,time of transition_2,transition_3,time of transition_3,transition_4,time of transition_4,exh -- last_1,exh -- last_2,exh -- last_3,exh -- last_4,exh -- transition_1,exh -- transition_2,exh -- transition_3,exh -- transition_4
"[[[4, 9], [5, 3], [0, 6], [8, 7]], [0, 2, 1, 2], [[5, 8], [4, 4], [1, 6], [7, 8]], [3, 1, 4, 1], [[4, 8], [6, 4], [1, 6], [8, 9]], [4, 3, 4, 0], [[4, 8], [5, 3], [1, 6], [8, 7]], [4, 2, 4, 2], [[4, 8], [5, 4], [1, 6], [8, 9]], [4, 4, 4, 0], [[4, 8], [5, 4], [1, 6], [8, 8]]]","[0.10489, 0.13242, 6e-05, 0.10489, 0.08202]",17.220303100999445,"[0.10155, 0.13325, 0.0, 0.10155, 0.07943]",12.6922947009989,"[0.1015, 0.1335, 0.0, 0.1015, 0.07875]",6.410306133999256,"[0.1, 0.125, 0.0, 0.1, 0.075]",1.707119350998255,"[0.1, 0.125, 0.0, 0.1, 0.075]",0.7437461959998473,"[0.1, 0.125, 0.0, 0.1, 0.075]",0.6611094049985695,"[0.1, 0.125, 0.0, 0.1, 0.075]",2.8158099979991675,"[0.10194, 0.12742, -0.0014, 0.10194, 0.07699]",7.787181747000432,"[0.10489, 0.13242, 6e-05, 0.10489, 0.08202]",20.09819151800184,0.9939057609170627,0.9934000852278231,0.9862084899303956,0.9862084899303956,0.9862084899303956,0.9862084899303956,0.9906567203295631,1.0
"[[[3, 9], [7, 7], [4, 8], [7, 8]], [3, 2, 0, 1], [[2, 9], [7, 8], [5, 7], [8, 7]], [0, 0, 0, 2], [[2, 8], [7, 7], [6, 6], [8, 8]], [4, 0, 3, 4], [[2, 8], [7, 6], [5, 7], [8, 8]], [4, 0, 3, 4], [[2, 8], [7, 4], [4, 8], [8, 8]], [0, 4, 4, 4], [[2, 7], [7, 4], [4, 8], [8, 8]]]","[-0.35219, 0.51904, 0.39978, 0.1004, 0.00287]",16.117470650999167,"[-0.3638, 0.49005, 0.41685, 0.09715, 0.0024]",10.589280399999552,"[-0.373, 0.503, 0.4295, 0.102, 0.0]",4.261515289003,"[-0.3675, 0.415, 0.46, 0.12, 0.0]",1.4254779760012752,"[-0.3, 0.275, 0.425, 0.175, 0.0]",0.454700899997988,"[-0.3, 0.275, 0.425, 0.175, 0.0]",0.45761377999951947,"[-0.33788, 0.67892, 0.31765, 0.03873, 0.0]",2.133472203000565,"[-0.35759, 0.53792, 0.39393, 0.11118, 0.0026]",6.119770199999039,"[-0.35219, 0.51904, 0.39978, 0.1004, 0.00287]",15.923213685000519,0.9600409506494462,0.9554970085275158,0.8627157920589553,0.7074065042588952,0.7074065042588952,0.7869179934860758,0.974112787905995,1.0
"[[[0, 6], [8, 7], [3, 9], [0, 2]], [1, 2, 0, 3], [[2, 6], [8, 8], [3, 7], [0, 1]], [3, 4, 1, 2], [[1, 7], [8, 8], [4, 8], [0, 2]], [0, 4, 4, 3], [[1, 6], [8, 8], [4, 8], [0, 3]], [4, 4, 4, 1], [[1, 6], [8, 8], [4, 8], [1, 4]], [4, 4, 4, 0], [[1, 6], [8, 8], [4, 8], [1, 3]]]","[0.0933, 0.3383, 0.3383, 0.3383, 0.3383]",19.44181673300045,"[0.08545, 0.31785, 0.31785, 0.31785, 0.31785]",11.86800822800069,"[0.106, 0.11, 0.11, 0.11, 0.11]",4.6190893380007765,"[0.105, 0.11, 0.11, 0.11, 0.11]",1.5929690209995897,"[0.1, 0.1, 0.1, 0.1, 0.1]",0.48429638300149236,"[0.1, 0.1, 0.1, 0.1, 0.1]",0.49672613800066756,"[0.10184, 0.19091, 0.19091, 0.19091, 0.19091]",2.283853437998914,"[0.10256, 0.2854, 0.2854, 0.2854, 0.2854]",8.544529675000376,"[0.0933, 0.3383, 0.3383, 0.3383, 0.3383]",20.732351113998448,0.9534377768464607,0.48930825099674846,0.48933811332741894,0.46709235087118517,0.46709235087118517,0.6702876632578029,0.8812598025098493,1.0
"[[[9, 9], [4, 7], [8, 1], [0, 9]], [3, 4, 4, 1], [[7, 9], [4, 7], [8, 1], [2, 9]], [1, 1, 4, 0], [[8, 9], [5, 7], [8, 1], [2, 7]], [0, 0, 4, 4], [[8, 8], [6, 6], [8, 1], [2, 7]], [4, 3, 4, 4], [[8, 8], [5, 7], [8, 1], [2, 7]], [4, 0, 4, 4], [[8, 8], [5, 6], [8, 1], [2, 7]]]","[-0.11134, 0.04789, 0.22195, 0.19421, 0.22195]",21.172579262998624,"[-0.19475, 0.04007, 0.2335, 0.19525, 0.2335]",12.635945215999527,"[-0.212, 0.05925, 0.228, 0.18, 0.228]",5.414096831998904,"[-0.605, 0.15, 0.185, 0.18, 0.185]",1.6942026610013272,"[-0.7, 0.375, 0.15, 0.15, 0.15]",0.47050223800033564,"[-0.7, 0.375, 0.15, 0.15, 0.15]",0.4745518270028697,"[-0.13971, 0.076, 0.20542, 0.17794, 0.20542]",2.470689419998962,"[-0.15247, 0.06598, 0.22224, 0.20299, 0.22224]",7.578185302001657,"[-0.11134, 0.04789, 0.22195, 0.19421, 0.22195]",19.344185850997746,0.904565028029553,0.8852360340742792,0.43314554689938267,0.2369226146713559,0.2369226146713559,0.9451567722959343,0.9488118470737613,1.0
"[[[5, 0], [4, 2], [7, 5], [8, 7]], [1, 3, 0, 2], [[6, 0], [3, 1], [8, 4], [8, 9]], [1, 4, 4, 0], [[7, 0], [3, 1], [8, 4], [8, 7]], [2, 4, 4, 2], [[7, 1], [3, 1], [8, 4], [8, 9]], [4, 4, 4, 0], [[7, 1], [3, 1], [8, 4], [9, 8]], [4, 4, 4, 3], [[7, 1], [3, 1], [8, 4], [8, 7]]]","[0.07439, 0.03949, 0.03949, 0.03949, 0.03949]",19.747255320999102,"[0.0403, 0.025, 0.025, 0.025, 0.025]",13.08482534200084,"[0.0335, 0.025, 0.025, 0.025, 0.025]",5.76904457099954,"[0.03, 0.025, 0.025, 0.025, 0.025]",1.732853341000009,"[0.025, 0.025, 0.025, 0.025, 0.025]",0.4621697669972491,"[0.025, 0.025, 0.025, 0.025, 0.025]",0.4776780520005559,"[0.03182, 0.025, 0.025, 0.025, 0.025]",2.2017207489989232,"[0.05976, 0.03077, 0.03077, 0.03077, 0.03077]",8.322295098001632,"[0.07439, 0.03949, 0.03949, 0.03949, 0.03949]",21.04758571599814,0.9499753998016975,0.943966165355207,0.9407303566317461,0.9359764447644463,0.9359764447644463,0.9424234715791235,0.9745493001078556,1.0
"[[[6, 0], [0, 5], [8, 4], [9, 4]], [1, 1, 3, 0], [[7, 1], [1, 5], [7, 5], [9, 3]], [4, 2, 3, 3], [[7, 1], [1, 6], [6, 6], [8, 3]], [4, 4, 3, 2], [[7, 1], [1, 6], [5, 6], [8, 5]], [4, 4, 0, 0], [[7, 1], [1, 6], [5, 4], [9, 4]], [4, 4, 4, 3], [[7, 1], [1, 6], [5, 4], [8, 3]]]","[0.20373, 0.19751, 0.10609, 0.10429, 0.08543]",17.649911034997785,"[0.20748, 0.1595, 0.07103, 0.07353, 0.06893]",10.939367158000096,"[0.181, 0.16, 0.008, 0.005, 0.005]",4.4990436879998015,"[0.15, 0.15, 0.0, 0.0, 0.0]",1.4874188540015894,"[0.2, 0.15, 0.0, 0.0, 0.0]",0.4641785490020993,"[0.2, 0.15, 0.0, 0.0, 0.0]",0.4780500960005156,"[0.22382, 0.15306, 0.05628, 0.05377, 0.05377]",2.1720449770000414,"[0.19406, 0.19796, 0.07243, 0.0707, 0.05265]",7.236622993998026,"[0.20373, 0.19751, 0.10609, 0.10429, 0.08543]",17.926030753002124,0.9301210528842914,0.8133425929007906,0.7921121393034216,0.8009369129522,0.8009369129522,0.8974385994879165,0.9345255441030627,1.0
"[[[8, 7], [3, 2], [6, 5], [3, 7]], [2, 4, 3, 4], [[9, 8], [3, 2], [5, 6], [3, 7]], [3, 4, 0, 3], [[8, 7], [3, 2], [6, 5], [2, 6]], [2, 4, 3, 2], [[8, 9], [3, 2], [5, 6], [1, 7]], [0, 4, 0, 0], [[8, 7], [3, 2], [5, 4], [1, 5]], [2, 4, 2, 2], [[8, 8], [3, 2], [6, 5], [1, 7]]]","[0.16801, 0.11947, 0.17329, 0.07604, 0.1422]",18.194245094997314,"[0.1689, 0.11525, 0.1799, 0.07405, 0.1436]",11.33245232400077,"[0.1745, 0.086, 0.1725, 0.062, 0.13]",4.720017200997972,"[0.175, 0.09, 0.175, 0.05, 0.115]",1.5285523900020053,"[0.2, 0.15, 0.2, 0.05, 0.05]",0.4837634680006886,"[0.2, 0.15, 0.2, 0.05, 0.05]",0.4727628030013875,"[0.14373, 0.10509, 0.14373, 0.05, 0.08165]",2.1665706320018217,"[0.16568, 0.10693, 0.16736, 0.06788, 0.13306]",7.043384706001234,"[0.16801, 0.11947, 0.17329, 0.07604, 0.1422]",17.741214556997875,0.9907660477042601,0.9565697873019254,0.9459376898847265,0.8783047520442971,0.8783047520442971,0.9132930185913499,0.9791442274178107,1.0
"[[[1, 6], [6, 0], [4, 5], [1, 8]], [4, 1, 1, 1], [[1, 6], [7, 1], [5, 6], [2, 9]], [4, 4, 0, 0], [[1, 6], [7, 1], [6, 5], [1, 8]], [4, 4, 4, 1], [[1, 6], [7, 1], [6, 5], [3, 8]], [4, 4, 4, 1], [[1, 6], [7, 1], [6, 5], [4, 7]], [4, 4, 4, 3], [[1, 6], [7, 1], [6, 5], [3, 7]]]","[0.01577, 0.00282, 0.00282, 0.00282, 0.00282]",18.336919065000984,"[0.002, 0.0008, 0.0008, 0.0008, 0.0008]",11.833330110002862,"[0.0, 0.0, 0.0, 0.0, 0.0]",4.711528089002968,"[0.0, 0.0, 0.0, 0.0, 0.0]",1.5391126159993291,"[0.0, 0.0, 0.0, 0.0, 0.0]",0.4838147469999967,"[0.0, 0.0, 0.0, 0.0, 0.0]",0.47715078100009123,"[0.0, 0.0, 0.0, 0.0, 0.0]",2.222899819000304,"[0.00569, 0.0, 0.0, 0.0, 0.0]",7.293127225999342,"[0.01577, 0.00282, 0.00282, 0.00282, 0.00282]",18.6178365199994,0.9839557447975918,0.9812749332444448,0.9812749332444448,0.9812749332444448,0.9812749332444448,0.9812749332444448,0.9870860540499815,1.0
"[[[9, 4], [3, 2], [4, 1], [1, 2]], [3, 2, 0, 2], [[8, 4], [3, 4], [4, 0], [1, 3]], [4, 1, 3, 1], [[8, 4], [4, 3], [3, 1], [2, 2]], [4, 2, 4, 2], [[8, 4], [4, 5], [3, 1], [2, 3]], [4, 1, 4, 4], [[8, 4], [6, 5], [3, 1], [2, 3]], [4, 3, 4, 4], [[8, 4], [5, 6], [3, 1], [2, 3]]]","[0.08049, 0.18528, 0.21465, 0.07537, 0.06575]",17.42572235699845,"[0.08415, 0.1592, 0.18393, 0.06195, 0.0379]",11.101805987997068,"[0.0445, 0.13775, 0.18125, 0.056, 0.028]",4.380013883001084,"[0.045, 0.125, 0.185, 0.05, 0.04]",1.4457577009998204,"[0.175, 0.125, 0.2, 0.05, 0.05]",0.4515282879983715,"[0.175, 0.125, 0.2, 0.05, 0.05]",0.4534389430009469,"[0.11885, 0.17526, 0.19998, 0.05, 0.00663]",2.2555273639991356,"[0.10247, 0.17104, 0.19085, 0.06261, 0.05351]",6.862492972999462,"[0.08049, 0.18528, 0.21465, 0.07537, 0.06575]",17.478210525998293,0.9430680307296506,0.9100680785260317,0.905931936875473,0.8692706020055168,0.8692706020055168,0.913933817616906,0.9557708636756267,1.0
"[[[2, 7], [7, 6], [8, 3], [3, 4]], [4, 0, 4, 0], [[2, 7], [7, 5], [8, 3], [3, 2]], [4, 3, 0, 4], [[2, 7], [6, 6], [8, 2], [3, 2]], [4, 3, 4, 4], [[2, 7], [4, 6], [8, 2], [3, 2]], [4, 1, 4, 4], [[2, 7], [5, 7], [8, 2], [3, 2]], [4, 0, 4, 4], [[2, 7], [6, 6], [8, 2], [3, 2]]]","[0.15569, 0.20088, 0.20696, 0.12794, 0.2292]",16.61957213400092,"[0.128, 0.20155, 0.2026, 0.12703, 0.23055]",10.731706593000126,"[0.0415, 0.166, 0.165, 0.129, 0.225]",4.182691309000802,"[0.0075, 0.175, 0.165, 0.1125, 0.18]",1.3853217579999182,"[-0.25, 0.15, 0.15, 0.1, 0.15]",0.5242425100004766,"[-0.25, 0.15, 0.15, 0.1, 0.15]",0.4429742370011809,"[0.06201, 0.22171, 0.18082, 0.12814, 0.24099]",2.0073619579998194,"[0.15247, 0.21356, 0.19375, 0.12695, 0.23124]",6.591382030001114,"[0.15569, 0.20088, 0.20696, 0.12794, 0.2292]",17.183428491000086,0.9685984634133933,0.8584223900999879,0.816119176842717,0.5290025534835672,0.5290025534835672,0.8880168818526649,0.9790597098873965,1.0
,,18.192579475499222,,11.680901606000043,,4.896734633400411,,1.553878566900312,,0.5022943045998545,,0.4892056062006304,,2.2729950557997656,,7.337897195100231,,18.609224873099446,0.9578434255773407,0.8787085326254754,0.815351417499868,0.7392396158226304,0.7392396158226304,0.8924951641342613,0.9604976857060901,1.0
,,1.4658497566203657,,0.8404474693595194,,0.6928653758719079,,0.1177277349887448,,0.08288871826817688,,0.059084565973726286,,0.2129056957627583,,0.710684319382876,,1.579793438961125,0.026633606035360514,0.14044011705931692,0.1878430928147,0.23873275818615805,0.23873275818615805,0.09131784452110447,0.031310806088715934,0.0
